# Mean_Fitness,Std_Dev,Top_1_Fitness
7.905947034669557638e+01,6.453653220348951436e+01,9.967708342884989747e+00
1.252839052076668338e+02,6.826809734368964655e+01,9.967708342884989747e+00
1.035440271438075399e+02,7.071781931542732025e+01,9.967708342884989747e+00
1.010090077726175366e+02,7.860856277706714934e+01,9.967708342884989747e+00
1.041993296141287857e+02,7.497856407207457607e+01,9.967708342884989747e+00
7.771199432915348382e+01,6.835127318718902245e+01,9.967708342884989747e+00
9.942945926026655457e+01,6.448165240239343632e+01,9.967708342884989747e+00
1.113205962118707930e+02,6.120292643856076609e+01,9.967708342884989747e+00
9.743991533567213992e+01,5.338800507144272700e+01,9.967708342884989747e+00
9.362836137814883841e+01,6.658291454247950014e+01,9.955300611626825003e+00
9.537653511906698611e+01,7.680716332600354690e+01,9.955300611626825003e+00
1.025166418846674503e+02,7.281873268815446920e+01,9.908760123915271834e+00
9.234680333766205251e+01,6.740697810549328040e+01,9.908760123915271834e+00
1.055721406654992762e+02,7.324996721544077616e+01,9.908760123915271834e+00
9.929615441247469221e+01,7.314971922789329994e+01,9.908760123915271834e+00
9.936706901330320818e+01,7.388456098859204246e+01,9.908760123915271834e+00
9.996782847436169561e+01,6.526371784862394065e+01,9.908760123915271834e+00
9.927592737729504790e+01,6.839595479785293719e+01,9.908760123915271834e+00
1.099097805716580041e+02,6.433735133539433093e+01,9.908760123915271834e+00
1.027324222921228056e+02,6.413906251248567969e+01,9.908760123915271834e+00
8.683613347221570677e+01,6.999957328321070804e+01,9.891359182279884976e+00
9.588068751981141702e+01,7.346443417804884746e+01,9.891359182279884976e+00
1.011297649127920266e+02,6.490199770997001849e+01,9.891359182279884976e+00
9.750725230135401489e+01,7.058605330205287487e+01,9.891359182279884976e+00
8.889018749530282548e+01,6.996893354491047035e+01,9.891359182279884976e+00
9.250611285292711727e+01,6.966821385012096357e+01,9.891359182279884976e+00
9.282540314854819030e+01,6.830021381437224193e+01,9.891359182279884976e+00
8.470531343341296804e+01,7.447309781895894787e+01,9.884674741050702096e+00
9.820692713437253474e+01,7.222238195869175570e+01,9.884674741050702096e+00
1.041123984920772330e+02,6.556898841066227135e+01,9.884674741050702096e+00
9.725481554262576367e+01,6.977533115274250974e+01,9.884674741050702096e+00
1.029806639286957051e+02,7.085065149001387397e+01,9.884674741050702096e+00
8.909119833803211463e+01,6.793057699110885039e+01,9.884674741050702096e+00
1.200199235431443014e+02,6.730333557855537663e+01,9.884674741050702096e+00
1.128895545292421474e+02,7.213329632331915775e+01,9.884674741050702096e+00
1.209465128577456881e+02,6.525399621459797572e+01,9.884674741050702096e+00
9.011739462201501283e+01,6.999953445493389381e+01,9.839118143217987722e+00
8.950557042483525549e+01,6.582167457776652952e+01,9.839118143217987722e+00
9.759758844461821070e+01,7.102770172384882130e+01,9.839118143217987722e+00
8.358695959606428971e+01,6.654194203303377719e+01,9.839118143217987722e+00
9.022481959937849183e+01,6.962293411476619553e+01,9.839118143217987722e+00
1.135391987252910866e+02,6.158255352485018363e+01,9.839118143217987722e+00
1.110523380280174024e+02,7.088682764243917234e+01,9.839118143217987722e+00
8.831836771321400192e+01,7.193377954310582822e+01,9.839118143217987722e+00
1.155028364856315903e+02,7.466402656834762297e+01,9.839118143217987722e+00
1.084470719827393879e+02,6.723933114585773296e+01,9.839118143217987722e+00
1.094648993861036388e+02,6.841894160272870806e+01,9.839118143217987722e+00
1.235850006110526067e+02,7.678528908048828328e+01,9.839118143217987722e+00
1.179466459216452705e+02,7.496694361280798091e+01,9.839118143217987722e+00
